Species,Lake,Diet,Ecotype,AdultLength_cm,Aggression_1to5,Activity_1to5,DisplayAbility_1to5,MinGroupSize,PreferredPH,PreferredTemp_C,PreferredHardness_Dgh,Rarity_1to5,CareDifficulty_1to5,Price_GBP,RecommendedTank_L,SensitivityWaterParams_1to5,SensitivityStress_1to5
Protomelas insignis,Malawi,Omnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Protomelas ornatus,Malawi,Omnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Altolamprologus fasciatus,Tanganyika,Carnivore,Rock Dweller,15,3,2,4,1,8.3,25,15,3,3,22,200,3,4
Neolamprologus boulengeri,Tanganyika,Omnivore,Shell Dweller,7,2,3,3,6,8.3,25,15,3,2,15,80,3,3
Neolamprologus signatus,Tanganyika,Omnivore,Shell Dweller,7,2,3,3,6,8.3,25,15,3,2,15,80,3,3
Neolamprologus callipterus,Tanganyika,Omnivore,Shell Dweller,12,3,3,4,6,8.3,25,15,3,3,20,120,3,4
Neolamprologus savoryi,Tanganyika,Carnivore,Rock Dweller,10,3,3,3,2,8.3,25,15,3,3,18,120,3,4
Neolamprologus falcicula,Tanganyika,Carnivore,Rock Dweller,8,2,3,3,2,8.3,25,15,3,2,15,100,3,3
Neolamprologus helianthus,Tanganyika,Omnivore,Rock Dweller,10,3,3,4,2,8.3,25,15,3,2,18,120,3,3
Neolamprologus splendens,Tanganyika,Carnivore,Rock Dweller,12,3,3,4,2,8.3,25,15,3,3,18,150,3,4
Julidochromis regani,Tanganyika,Carnivore,Rock Dweller,12,3,3,4,2,8.3,25,15,2,2,12,150,3,3
Julidochromis marksmithi,Tanganyika,Carnivore,Rock Dweller,10,2,3,4,2,8.3,25,15,3,2,12,120,3,3
Xenotilapia ochrogenys,Tanganyika,Omnivore,Sand Dweller,12,2,4,3,6,8.3,25,15,3,3,18,200,3,4
Xenotilapia spilopterus,Tanganyika,Omnivore,Sand Dweller,12,2,4,3,6,8.3,25,15,3,3,18,200,3,4
Xenotilapia melanogenys,Tanganyika,Omnivore,Sand Dweller,12,2,4,3,6,8.3,25,15,3,3,18,200,3,4
Cyathopharynx foai,Tanganyika,Planktivore,Sand Dweller,20,2,4,5,2,8.3,25,15,4,4,30,350,4,4
Cyathopharynx furcifer,Tanganyika,Planktivore,Sand Dweller,20,2,4,5,2,8.3,25,15,4,4,30,350,4,4
Ophthalmotilapia boops,Tanganyika,Planktivore,Open Water,14,2,5,5,6,8.3,25,15,4,3,25,250,3,4
Ophthalmotilapia heterodonta,Tanganyika,Planktivore,Open Water,14,2,5,5,6,8.3,25,15,4,3,25,250,3,4
Cyprichromis microlepidotus,Tanganyika,Planktivore,Open Water,12,2,5,4,10,8.3,25,15,3,3,18,200,3,4
Paracyprichromis brieni,Tanganyika,Planktivore,Open Water,12,2,5,4,10,8.3,25,15,3,3,18,200,3,4
Ectodus descampsii,Tanganyika,Omnivore,Sand Dweller,12,2,4,3,6,8.3,25,15,3,3,20,200,3,4
Grammatotria lemairii,Tanganyika,Carnivore,Sand Dweller,15,3,3,3,2,8.3,25,15,4,4,28,250,4,4
Triglachromis otostigma,Tanganyika,Carnivore,Sand Dweller,15,3,3,3,2,8.3,25,15,4,4,28,250,4,4
Perissodus microlepis,Tanganyika,Scale Eater,Open Water,15,4,3,4,1,8.3,25,15,5,5,30,300,4,4
Plecodus straeleni,Tanganyika,Scale Eater,Open Water,15,4,3,4,1,8.3,25,15,5,5,32,300,4,4
Gnathochromis permaxillaris,Tanganyika,Omnivore,Sand Dweller,18,3,3,3,2,8.3,25,15,4,4,28,300,4,4
Greenwoodochromis bellcrossi,Tanganyika,Omnivore,Sand Dweller,20,3,3,3,2,8.3,25,15,5,4,30,400,4,4
Boulengerochromis microlepis,Tanganyika,Carnivore,Open Water,90,5,3,5,1,8.3,25,15,5,5,80,1000,4,4
Ctenochromis horei,Tanganyika,Omnivore,Rock Dweller,15,4,3,4,1,8.3,25,15,4,4,25,200,4,4
Cyprichromis zonatus,Tanganyika,Planktivore,Open Water,12,2,5,4,10,8.3,25,15,4,3,22,200,3,4
Trematocara marginatus,Tanganyika,Planktivore,Deep Water,10,2,4,3,6,8.3,25,15,4,3,25,200,3,4
Placidochromis jalo,Malawi,Omnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Placidochromis intermedius,Malawi,Omnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Placidochromis platyrhynchos,Malawi,Omnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Otopharynx argyrosoma,Malawi,Carnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,250,2,3
Otopharynx heterodon,Malawi,Carnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,250,2,3
Otopharynx auromarginatus,Malawi,Carnivore,Hap,18,3,3,5,1,7.8,26,12,3,3,25,250,2,3
Otopharynx decorus,Malawi,Carnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,250,2,3
Stigmatochromis pholidophorus,Malawi,Carnivore,Hap,22,3,3,4,1,7.8,26,12,3,3,25,350,2,3
Stigmatochromis pleurospilus,Malawi,Carnivore,Hap,22,3,3,4,1,7.8,26,12,3,3,25,350,2,3
Lethrinops lethrinus,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Lethrinops albus,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Lethrinops auritus,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Lethrinops marginatus,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Lethrinops gossei,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Mylochromis gracilis,Malawi,Carnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,22,300,2,3
Mylochromis lateristriga,Malawi,Carnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,22,300,2,3
Mylochromis guentheri,Malawi,Carnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,22,300,2,3
Tramitichromis lituris,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Tramitichromis intermedius,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Tramitichromis brevis,Malawi,Omnivore,Hap,18,3,3,3,1,7.8,26,12,3,3,18,250,2,3
Astatotilapia latifasciata,Victoria,Omnivore,Rock Dweller,12,4,4,4,6,7.5,25,10,3,3,15,150,2,3
Haplochromis nyererei,Victoria,Carnivore,Rock Dweller,12,4,4,5,6,7.5,25,10,3,3,18,150,2,3
Haplochromis obliquidens,Victoria,Omnivore,Rock Dweller,12,4,4,4,6,7.5,25,10,3,3,15,150,2,3
Haplochromis sp. Flameback,Victoria,Omnivore,Rock Dweller,12,4,4,5,6,7.5,25,10,3,3,18,150,2,3
Haplochromis latifasciatus,Victoria,Omnivore,Rock Dweller,12,4,4,4,6,7.5,25,10,3,3,15,150,2,3
Haplochromis brownae,Victoria,Omnivore,Rock Dweller,12,4,4,4,6,7.5,25,10,3,3,15,150,2,3
Astatotilapia burtoni,Tanganyika,Omnivore,Rock Dweller,12,3,4,4,6,7.8,25,12,2,2,12,120,3,3
Pseudocrenilabrus multicolor,Victoria,Omnivore,Rock Dweller,8,3,4,3,6,7.5,25,10,2,2,10,90,2,2
